"tanggal","stasiun","pm25","pm10","so2","co","o3","no2","max","critical","categori"
"2023-10-18","DKI1 (Bunderan HI)",108,64,50,9,29,34,108,"PM25","TIDAK SEHAT"
"2023-10-19","DKI1 (Bunderan HI)",93,65,51,9,25,30,93,"PM25","SEDANG"
"2023-10-20","DKI1 (Bunderan HI)",78,62,50,6,29,23,78,"PM25","SEDANG"
"2023-10-21","DKI1 (Bunderan HI)",88,63,49,6,24,33,88,"PM25","SEDANG"
"2023-10-22","DKI1 (Bunderan HI)",91,60,47,4,37,25,91,"PM25","SEDANG"
"2023-10-23","DKI1 (Bunderan HI)",86,62,48,6,37,27,86,"PM25","SEDANG"
"2023-10-24","DKI1 (Bunderan HI)",96,63,47,5,21,35,96,"PM25","SEDANG"
"2023-10-25","DKI1 (Bunderan HI)",81,58,44,5,31,32,81,"PM25","SEDANG"
"2023-10-26","DKI1 (Bunderan HI)",99,65,46,8,31,37,99,"PM25","SEDANG"
"2023-10-27","DKI1 (Bunderan HI)",102,67,47,8,29,36,102,"PM25","TIDAK SEHAT"
"2023-10-28","DKI1 (Bunderan HI)",97,66,47,6,34,36,97,"PM25","SEDANG"
"2023-10-29","DKI1 (Bunderan HI)",94,65,47,7,36,26,94,"PM25","SEDANG"
"2023-10-30","DKI1 (Bunderan HI)",83,59,45,6,40,29,83,"PM25","SEDANG"
"2023-10-31","DKI1 (Bunderan HI)",95,67,45,5,48,33,95,"PM25","SEDANG"
"2023-11-01","DKI1 (Bunderan HI)",86,61,42,8,38,41,86,"PM25","SEDANG"
"2023-11-02","DKI1 (Bunderan HI)",84,58,42,6,35,38,84,"PM25","SEDANG"
"2023-11-03","DKI1 (Bunderan HI)",89,64,43,9,39,37,89,"PM25","SEDANG"
"2023-11-04","DKI1 (Bunderan HI)",97,68,45,8,33,41,97,"PM25","SEDANG"
"2023-11-05","DKI1 (Bunderan HI)",63,51,44,8,40,29,63,"PM25","SEDANG"
"2023-11-06","DKI1 (Bunderan HI)",73,53,43,8,34,29,73,"PM25","SEDANG"
"2023-11-07","DKI1 (Bunderan HI)",85,60,43,7,37,30,85,"PM25","SEDANG"
"2023-11-08","DKI1 (Bunderan HI)",74,55,41,6,40,25,74,"PM25","SEDANG"
"2023-11-09","DKI1 (Bunderan HI)",89,61,44,6,46,30,89,"PM25","SEDANG"
"2023-11-10","DKI1 (Bunderan HI)",107,64,44,8,41,33,107,"PM25","TIDAK SEHAT"
"2023-11-11","DKI1 (Bunderan HI)",89,64,39,15,35,30,89,"PM25","SEDANG"
"2023-11-12","DKI1 (Bunderan HI)",79,57,42,16,45,25,79,"PM25","SEDANG"
"2023-11-13","DKI1 (Bunderan HI)",81,58,43,18,36,29,81,"PM25","SEDANG"
"2023-11-14","DKI1 (Bunderan HI)",79,57,43,16,34,26,79,"PM25","SEDANG"
"2023-11-15","DKI1 (Bunderan HI)",66,47,40,16,38,30,66,"PM25","SEDANG"
"2023-11-16","DKI1 (Bunderan HI)",81,57,42,16,41,37,81,"PM25","SEDANG"
"2023-11-17","DKI1 (Bunderan HI)",75,52,41,16,40,36,75,"PM25","SEDANG"
"2023-11-18","DKI1 (Bunderan HI)",120,53,41,14,34,31,120,"PM25","TIDAK SEHAT"
"2023-11-19","DKI1 (Bunderan HI)",80,54,43,16,32,24,80,"PM25","SEDANG"
"2023-11-20","DKI1 (Bunderan HI)",75,52,43,15,39,24,75,"PM25","SEDANG"
"2023-11-21","DKI1 (Bunderan HI)",87,57,44,15,36,30,87,"PM25","SEDANG"
"2023-11-22","DKI1 (Bunderan HI)",69,50,42,13,43,30,69,"PM25","SEDANG"
"2023-11-23","DKI1 (Bunderan HI)",93,56,44,11,38,30,93,"PM25","SEDANG"
"2023-11-24","DKI1 (Bunderan HI)",101,70,44,11,33,38,101,"PM25","TIDAK SEHAT"
"2023-11-25","DKI1 (Bunderan HI)",83,65,43,14,4,29,83,"PM25","SEDANG"
"2023-11-26","DKI1 (Bunderan HI)",75,55,43,15,15,25,75,"PM25","SEDANG"
"2023-11-27","DKI1 (Bunderan HI)",76,58,43,14,31,26,76,"PM25","SEDANG"
"2023-11-28","DKI1 (Bunderan HI)",96,62,45,15,29,34,96,"PM25","SEDANG"
"2023-11-29","DKI1 (Bunderan HI)",82,58,44,11,31,26,82,"PM25","SEDANG"
